LOCK_REMOVAL_FIELDS: every field of today's LmxMsg and of the five scaffolding types, each with its owner in LMX or
its deletion (d6, 2026-09-15). Read on integration 7200294b: lmx_message.h 89-228, lmx_message_exec.c 34-74.

The target (coordinator's map section 5.7, main 8c3d06bc). Mikhail, verbatim: "Почему вам не хватает typedef struct
LmxMsg { volatile ... running = 1; volatile ... success = 0; struct LmxRoot *root; } ????". Of the other five types:
"ЧТО ЭТО? Это все на L1 не является корневым Message, и при портировании все алгоритмы записываются на LMX но не
описывают Message". An L3 Thread's record "очевидно может быть сложней и содержать большее число полей так как там
планировщик и так далее".
Message = {running, success, root}. L3 Thread = a Message plus its mailbox (the one synchronized collection of
Messages, the one lock) plus its scheduler and maintenance state as Structure data in its own arena. The C keeps the
native primitives only (the thread, the mailbox's monitor).

The record, now in the documentation (spec section 2, model section 2, main c7f9d375; Mikhail asked for the handoff
flag and confirmed its meaning, "Так"):
  typedef struct LmxMsg { volatile uint_fast8_t running;       1 at launch, 0 written by the parent
                          volatile uint_fast8_t success;       0 at launch, 1 written by the Message itself
                          volatile uint_fast8_t handoff_safe;  1 written by the Message itself when it has left its
                                                               last turn and nothing native uses its arena (19.29.7,
                                                               19.29.8); today's native_users folds into when it is set
                          Lmx *root; }
His sentence beside it: everything else is not Message and ends up in LMX as the inside of a Message.
The inside (spec section 2, main c2b86f16, Mikhail verbatim): written into what root reaches; on L2 the code working
with these Messages; on L1 the code that will be generated, "В точности как имитируется L2 на Си -- функция с
аргументами ,скрытми ргументами и узлом графа." So an L3T, PAR or MBOX row below is a Structure node in the Message's
arena reached from root, not a field of a C record, and its hand-written C takes l2trans's emission form (declared
formals, hidden through-arguments in intern name order, the graph node). The whole C record is the four-field LmxMsg
plus the native primitives (thread handle, thread id, the mailbox's monitor).

Rule for every stage (coordinator, 2026-09-15): a stage's note names, for each field it touches, its owner below or
its deletion. A field with neither is a contradiction, and the stage stops.

Owner codes (the target column names one of: the four fields, the L3 Thread's mailbox, Structure data in the L3
Thread's or its parent's arena, or deletion):
  MSG    one of the four fields: running, success, handoff_safe, root; "MSG.root, inside" is data inside the Message
         reached from root (19.29.2: blocks, ranges, the graph's storage)
  L3T    Structure data in the L3 Thread's own arena (scheduler, maintenance, the capability toward its parent);
         "L3T of R0" is R0's own arena; "L3T native" is the thread's native primitive the C keeps (map 5.7)
  PAR    Structure data in the parent's arena (its child references, their paths, the settle write)
  MBOX   the L3 Thread's mailbox: the synchronized collection of Messages and its monitor
  DEL    deleted, with the ruling or stage that removes it
Basis: "ruled" names the source (map 5.7, census 2.6, a Mikhail quote in the design); "proposed" is the lead's reading
and waits for the coordinator. A proposed line is not a claim.

Line format: type.field | file:line | what it is today | owner | basis | stage

--- LmxMsg (lmx_message.h 118-209): today's L3 Thread record
LmxMsg.addr | h:119 | the Message's address, lookup key of the runtime-wide walk | PAR (the parent's child reference); DEL as a lookup key | proposed (no registry, spec 11455; S2 capabilities) | S2
LmxMsg.parent | h:120 | the parent's address | L3T (the parent capability) | ruled (coordinator; 19.28.R2.2 "a parent capability (except the root)") | S4
LmxMsg.state | h:121 | lifecycle state (inactive, running, stopped) | DEL (derived from running and success plus the parent's committed entry) | ruled (coordinator, Q1) | S6
LmxMsg.committed | h:122 | the child's creation committed by the parent's turn end | PAR (the parent's child entry written at its end-turn; 19.29.7.1 reserved child) | ruled (coordinator, Q1) | S4
LmxMsg.closing | h:123 | close requested | DEL (running = 0 is the close) | ruled (Mikhail: "выставляется running=0 и в конце turn ... всё") | S3/S6
LmxMsg.init | h:124 | creation payload bytes | MSG.root, inside (the child's own arena; no copies) | ruled (coordinator) | A1
LmxMsg.init_n | h:125 | its length | MSG.root, inside | ruled (coordinator) | A1
LmxMsg.inbox | h:126 | head of the LmxMsgCopy inbox list | MBOX (the collection holds the Messages themselves) | ruled (map 5.7: "no copies") | Y3/A3
LmxMsg.inbox_tail | h:127 | its tail | MBOX | ruled (map 5.7) | Y3/A3
LmxMsg.outbox | h:128 | staged sends committed at turn end | L3T (turn-local staging of the Messages it sends); the copy list DEL | proposed | Y3/A3
LmxMsg.outbox_tail | h:129 | its tail | L3T | proposed | Y3/A3
LmxMsg.done_from | h:130 | delivered-envelope history (duplicate suppression) | HELD: DEL proposed (by analogy with the deleted create retry) | put to Mikhail by the coordinator (Q2) | Y3
LmxMsg.done_id | h:131 | same | HELD: DEL proposed | put to Mikhail (Q2) | Y3
LmxMsg.done_n | h:132 | same | HELD: DEL proposed | put to Mikhail (Q2) | Y3
LmxMsg.done_cap | h:133 | same | HELD: DEL proposed | put to Mikhail (Q2) | Y3
LmxMsg.exec_id | h:134 | the current turn's envelope id | DEL (goes with the envelopes) | ruled (coordinator; map 5.7) | A3
LmxMsg.exec_corr | h:135 | its correlation | DEL | ruled (coordinator; map 5.7) | A3
LmxMsg.exec_from | h:136 | its sender | DEL | ruled (coordinator; map 5.7) | A3
LmxMsg.exec_reply | h:137 | its reply-to | DEL | ruled (coordinator; map 5.7) | A3
LmxMsg.exec_live | h:138 | a turn is live on this record | DEL (running and the thread's own loop) | proposed | S3
LmxMsg.last_beat | h:139 | liveness beat | L3T (its self-maintenance) | ruled (coordinator) | S4
LmxMsg.path | h:140 | hierarchical path segments | PAR (the parent's child reference); for R0's children, L3T of R0 | ruled (coordinator; map 5.7) | S2/A1
LmxMsg.path_n | h:141 | its length | PAR / L3T of R0 | ruled (coordinator) | S2/A1
LmxMsg.path_cap | h:142 | its capacity | PAR / L3T of R0 | ruled (coordinator) | S2/A1
LmxMsg.child_seq | h:143 | next child segment | PAR (this Message as a parent: its own Structure) | ruled (coordinator) | S4
LmxMsg.parent_msg | h:145 | pointer to the parent record | L3T (the parent capability) | ruled (coordinator; 19.28.R2.2) | S2/S4
LmxMsg.first_child | h:146 | head of the direct-child list | PAR (this Message's own Structure as a parent) | ruled (coordinator; 2.1 (2)) | S4
LmxMsg.last_child | h:147 | its tail | PAR | ruled (coordinator) | S4
